,Date,Position,Streams,Track Name,Artist,Region,URL,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,Population,Country Primary Language,Unnamed: 0,Countrys,lat,lng,Unnamed: 0_x
0,2018-01-01,1.0,26459,Ìächame La Culpa,Luis Fonsi,Ecuador,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,42748,88,79,62,-5,87,0.15833333300000002,20,78,16290913.0,Spanish,47,Ecuador,-1.8312389999999998,-78.18340599999998,
1,2018-01-07,1.0,1312988,rockstar,Post Malone,United States of America,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,38621,144,91,62,-3,69,0.175,5,68,326625791.0,English,45,United States of America,37.09024,-95.712891,
2,2018-01-03,1.0,263661,DUELE EL CORAZON,Maluma,Argentina,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,42307,176,70,73,-6,79,0.14375,13,79,44293293.0,Spanish,61,Argentina,-38.416097,-63.61667199999999,
3,2018-01-09,1.0,349272,Was Du Liebe nennst,Bausa,Germany,https://open.spotify.com/track/4hKWUzhQWsOkgT6LnDEASe,42886,94,71,77,-6,52,0.161111111,34,69,80594017.0,German,8,Germany,51.165690999999995,10.451526,
4,2018-01-09,1.0,89773,Yan±yoruz,Burak King,Turkey,https://open.spotify.com/track/2BJkinM7TmdcsDGNvmZds8,42886,94,71,77,-6,52,0.161111111,34,69,80845215.0,Turkish,15,Turkey,38.963745,35.243322,
5,2018-01-01,1.0,61559,Popkorni,JVG,Finland,https://open.spotify.com/track/7mGdJWJETc696zijUeZ2FD,42886,94,71,77,-6,52,0.161111111,34,69,5518371.0,Finnish,37,Finland,61.92410999999999,25.7481511,
6,2018-01-01,1.0,138223,Mwaka Moon,Kalash,France,https://open.spotify.com/track/1vVZLmZq8gN8pPCEBLjPvD,42886,94,71,77,-6,52,0.161111111,34,69,67106161.0,French,60,France,46.227638,2.213749,
7,2018-01-09,1.0,7786,DÌ©jala Que Vuelva (feat. Manuel Turizo),Piso 21,El Salvador,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,42706,93,84,76,-4,75,0.145833333,55,81,6172011.0,Spanish,31,El Salvador,13.794185,-88.89653,
8,2018-01-01,1.0,113722,La musica non c'Ì¬,Coez,Italy,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x,42886,94,71,77,-6,52,0.161111111,34,69,62137802.0,Italian,5,Italy,41.87194,12.56738,
9,2018-01-04,1.0,21512,Wolves,Selena Gomez,Taiwan,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,42886,94,71,77,-6,52,0.161111111,34,69,23508428.0,Mandarin,28,Taiwan,23.69781,120.96051499999999,
10,2018-01-02,1.0,3551,rockstar,Post Malone,Lithuania,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,38621,144,91,62,-3,69,0.175,5,68,2823859.0,Lithuanian,25,Lithuania,55.169438,23.881275,
11,2018-01-09,1.0,121286,River (feat. Ed Sheeran),Eminem,Norway,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD,39948,77,82,74,-3,73,0.222222222,6,46,5320045.0,Norwegian,38,Norway,60.47202399999999,8.468945999999999,
12,2018-01-09,1.0,3409,rockstar,Post Malone,Estonia,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,38621,144,91,62,-3,69,0.175,5,68,1251581.0,Estonian,3,Estonia,58.595271999999994,25.0136071,
13,2018-01-09,1.0,47790,I Fall Apart,Post Malone,New Zealand,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,42886,94,71,77,-6,52,0.161111111,34,69,4510327.0,English,29,New Zealand,-40.900557,174.88597099999998,
14,,,136652,Chantaje,Shakira,,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,42881,102,77,85,-3,91,0.136111111,19,83,,,0,Chile,-35.675147,-71.542969,1.0
