Region,Date_min,Date_max,Streams_max,Streams per 1 million_max,Days Charted
Argentina,2017-01-01,2018-01-09,455217,10277.33,373 days 00:00:00.000000000
Chile,2017-01-01,2017-03-19,304108,17095.03,77 days 00:00:00.000000000
Costa Rica,2017-01-01,2018-01-09,55564,11270.0,373 days 00:00:00.000000000
Ecuador,2017-01-01,2018-01-09,64238,3943.18,373 days 00:00:00.000000000
El Salvador,2017-01-01,2018-01-09,16297,2640.47,373 days 00:00:00.000000000
Estonia,2017-01-01,2018-01-09,8244,6586.87,373 days 00:00:00.000000000
Finland,2017-01-01,2018-01-09,196365,35583.87,373 days 00:00:00.000000000
France,2017-01-01,2018-01-09,479164,7140.39,373 days 00:00:00.000000000
Germany,2017-01-01,2018-01-09,1280932,15893.64,373 days 00:00:00.000000000
Italy,2017-01-01,2018-01-09,495971,7981.79,373 days 00:00:00.000000000
Lithuania,2017-01-01,2018-01-09,7450,2638.23,373 days 00:00:00.000000000
New Zealand,2017-01-01,2018-01-09,134171,29747.51,373 days 00:00:00.000000000
Norway,2017-01-01,2018-01-09,388200,72969.31,373 days 00:00:00.000000000
Phillipines,2017-01-01,2018-01-09,367367,3523.7,373 days 00:00:00.000000000
Taiwan,2017-01-01,2018-01-09,61222,2604.26,373 days 00:00:00.000000000
Turkey,2017-01-01,2018-01-09,259368,3208.2,373 days 00:00:00.000000000
United States of America,2017-01-01,2018-01-09,4068152,12455.09,373 days 00:00:00.000000000
